content_id,source_id,source_type,food_id,orig_content,orig_unit,food_name,food_group,food_subgroup,source_name,score,nutri_score,nutri_score_category
30482,5,Nutrient,471,0.1,g/100g,Pacific sardine,Aquatic foods,Fishes,Fiber (dietary),0,11,D
30503,5,Nutrient,488,3.3,g/100g,Soursop,Fruits,Tropical fruits,Fiber (dietary),-3,0,B
30505,5,Nutrient,489,10.7,g/100g,Spelt,Cereals and cereal products,Cereals,Fiber (dietary),-5,6,C
30507,5,Nutrient,490,3.6,g/100g,Spirulina,Aquatic foods,Seaweed,Fiber (dietary),-3,-5,A
30509,5,Nutrient,493,5.4,g/100g,Strawberry guava,Fruits,Berries,Fiber (dietary),-5,-3,A
30515,5,Nutrient,496,4.4,g/100g,Sugar apple,Fruits,Tropical fruits,Fiber (dietary),-4,0,B
30520,5,Nutrient,499,0.4,g/100g,Taro,Vegetables,Root vegetables,Fiber (dietary),0,6,C
30527,5,Nutrient,500,8,g/100g,Teff,Herbs and Spices,Herbs,Fiber (dietary),-5,6,C
30531,5,Nutrient,502,1.9,g/100g,Mexican groundcherry,Vegetables,Fruit vegetables,Fiber (dietary),-1,0,B
30532,5,Nutrient,503,1.1,g/100g,Towel gourd,Gourds,Gourds,Fiber (dietary),-1,-1,A
31032,5,Nutrient,506,0.3,g/100g,"Cattle (Beef, Veal)",Animal foods,Bovines,Fiber (dietary),0,14,D
31495,5,Nutrient,509,7.8,g/100g,Wasabi,Herbs and Spices,Spices,Fiber (dietary),-5,-3,A
31496,5,Nutrient,510,2.9,g/100g,Wax gourd,Gourds,Gourds,Fiber (dietary),-3,-2,A
31512,5,Nutrient,516,6.2,g/100g,Wild rice,Cereals and cereal products,Cereals,Fiber (dietary),-5,5,C
31514,5,Nutrient,519,4.1,g/100g,Yam,Vegetables,Tubers,Fiber (dietary),-4,1,B
31519,5,Nutrient,520,4.9,g/100g,Jicama,Vegetables,Root vegetables,Fiber (dietary),-5,-5,A
31520,5,Nutrient,521,1.5,g/100g,Yautia,Vegetables,Leaf vegetables,Fiber (dietary),-1,4,C
31539,5,Nutrient,526,0.5,g/100g,Gadus (Common cod),Aquatic foods,Fishes,Fiber (dietary),0,17,D
31573,5,Nutrient,531,0.2,g/100g,"Clupeinae (Herring, Sardine, Sprat)",Aquatic foods,Fishes,Fiber (dietary),0,16,D
31611,5,Nutrient,534,5,g/100g,Black-eyed pea,Pulses,Peas,Fiber (dietary),-5,-2,A
31630,5,Nutrient,536,8.6,g/100g,Macadamia nut,Nuts,Nuts,Fiber (dietary),-5,10,C
31665,5,Nutrient,546,0.4,g/100g,Shrimp,Aquatic foods,Crustaceans,Fiber (dietary),0,2,B
31772,5,Nutrient,549,0.4,g/100g,Domestic pig,Animal foods,Swine,Fiber (dietary),0,22,E
32195,5,Nutrient,552,9.1,g/100g,Oriental wheat,Cereals and cereal products,Cereals,Fiber (dietary),-5,6,C
32197,5,Nutrient,553,11,g/100g,Yardlong bean,Pulses,Peas,Fiber (dietary),-5,-6,A
32204,5,Nutrient,556,2.6,g/100g,Boysenberry,Fruits,Berries,Fiber (dietary),-2,3,C
32206,5,Nutrient,557,2.8,g/100g,Persian lime,Fruits,Citrus,Fiber (dietary),-2,-1,A
32209,5,Nutrient,558,6.4,g/100g,Feijoa,Fruits,Tropical fruits,Fiber (dietary),-5,-4,A
32210,5,Nutrient,559,6.2,g/100g,Rowal,Herbs and Spices,Other seeds,Fiber (dietary),-5,-1,A
32211,5,Nutrient,561,2.4,g/100g,Common mushroom,Vegetables,Mushrooms,Fiber (dietary),-2,-3,A
32227,5,Nutrient,562,2.5,g/100g,Shiitake,Vegetables,Mushrooms,Fiber (dietary),-2,-3,A
32232,5,Nutrient,563,0.3,g/100g,Purple laver,Aquatic foods,Seaweed,Fiber (dietary),0,-2,A
32233,5,Nutrient,564,0.5,g/100g,Wakame,Aquatic foods,Seaweed,Fiber (dietary),0,9,C
32234,5,Nutrient,565,2.7,g/100g,Enokitake,Vegetables,Mushrooms,Fiber (dietary),-2,-2,A
32235,5,Nutrient,566,3.8,g/100g,Epazote,Herbs and Spices,Herbs,Fiber (dietary),-4,-4,A
32236,5,Nutrient,567,2.3,g/100g,Oyster mushroom,Vegetables,Mushrooms,Fiber (dietary),-2,-4,A
32237,5,Nutrient,568,70.1,g/100g,Cloud ear fungus,Vegetables,Mushrooms,Fiber (dietary),-5,-7,A
32238,5,Nutrient,569,2.7,g/100g,Maitake,Vegetables,Mushrooms,Fiber (dietary),-2,-3,A
32241,5,Nutrient,573,1.5,g/100g,Tinda,Gourds,Gourds,Fiber (dietary),-1,-1,A
32244,5,Nutrient,575,40.2,g/100g,Wheat,Cereals and cereal products,Cereals,Fiber (dietary),-5,-2,A
32287,5,Nutrient,576,17,g/100g,Common chokecherry,Fruits,Drupes,Fiber (dietary),-5,-2,A
32289,5,Nutrient,577,6.6,g/100g,Agave,Vegetables,Other vegetables,Fiber (dietary),-5,-3,A
32292,5,Nutrient,578,4.5,g/100g,Narrowleaf cattail,Vegetables,Other vegetables,Fiber (dietary),,1,B
32300,5,Nutrient,583,5,g/100g,Chanterelle,Vegetables,Mushrooms,Fiber (dietary),-5,-5,A
32311,5,Nutrient,586,53.1,g/100g,Cinnamon,Herbs and Spices,Spices,Fiber (dietary),-5,-4,A
